iter	Logloss
0	0.6853988647
1	0.675556861
2	0.6676471286
3	0.6590894063
4	0.6501809014
5	0.6417069753
6	0.6338595496
7	0.6244899326
8	0.6165499369
9	0.6088415358
10	0.6022346497
11	0.5949844784
12	0.5878426446
13	0.5802970462
14	0.5744059669
15	0.5676964654
16	0.5600430806
17	0.5539998796
18	0.5487283071
19	0.5436115689
20	0.5373021444
21	0.5313716041
22	0.5270709991
23	0.5218574524
24	0.5172101339
25	0.5118087769
26	0.5075861613
27	0.5032042609
28	0.4984473334
29	0.493541548
30	0.4894549052
31	0.4857689752
32	0.4821532355
33	0.4781444973
34	0.4739106072
35	0.4703282674
36	0.4665776571
37	0.4623965369
38	0.4586906857
39	0.4554760403
40	0.4519992405
41	0.4482774523
42	0.4448694441
43	0.4414851718
44	0.437744183
45	0.4348200904
46	0.4313341777
47	0.4294923994
48	0.426947954
49	0.424469969
50	0.4217089335
51	0.4190074497
52	0.4167332543
53	0.4133585612
54	0.4116325378
55	0.4094148424
56	0.4074187385
57	0.405785709
58	0.4037325541
59	0.4021892971
60	0.4001065572
61	0.3978189256
62	0.3958151499
63	0.3938388401
64	0.3917327033
65	0.3896241082
66	0.3873819139
67	0.38559778
68	0.383738539
69	0.3816171434
70	0.3797695584
71	0.3781400892
72	0.3757558611
73	0.3737683614
74	0.3720687019
75	0.3705029806
76	0.3688305325
77	0.3669730292
78	0.3652176751
79	0.3636369493
80	0.3623875936
81	0.3609337277
82	0.3589506361
83	0.3581174215
84	0.3567078484
85	0.3555745443
86	0.354533365
87	0.3533180661
88	0.3517270618
89	0.3506216261
90	0.3494908227
91	0.3477807363
92	0.3471477085
93	0.3459986793
94	0.3448377821
95	0.3433016883
96	0.3424683677
97	0.3414871216
98	0.339983601
99	0.3390358395
100	0.3378955205
101	0.3367540571
102	0.3359049055
103	0.3346728007
104	0.3337491353
105	0.3326344172
106	0.331527498
107	0.3303972032
108	0.3295076794
109	0.3287867016
110	0.3279922485
111	0.3270773782
112	0.3261906942
113	0.3251952065
114	0.324327808
115	0.3236913045
116	0.3227775574
117	0.3220521079
118	0.3210887485
119	0.3205411275
120	0.3199676726
121	0.3193107817
122	0.3183706707
123	0.3176769045
124	0.316710133
125	0.3161058002
126	0.3151600944
127	0.314179145
128	0.3132640627
129	0.3124247869
130	0.3115824593
131	0.3106708315
132	0.3099454244
133	0.3094459958
134	0.3085717943
135	0.3079558267
136	0.307182312
137	0.3064769957
138	0.3055410385
139	0.3046543969
140	0.3041128582
141	0.3032247967
142	0.302274153
143	0.3015622245
144	0.3006994883
145	0.3000897725
146	0.2993914498
147	0.2986749225
148	0.2979272207
149	0.2972587162
150	0.2965863122
151	0.2960462358
152	0.2952622732
153	0.2946585125
154	0.2941810396
155	0.2935365041
156	0.2929320441
157	0.2922343996
158	0.2916694429
159	0.2910946104
160	0.2906247245
161	0.2900003645
162	0.2893959681
163	0.2888640086
164	0.2882716709
165	0.2873703639
166	0.2866041183
167	0.2862751855
168	0.2856875526
169	0.2851520326
170	0.2846145206
171	0.2841673533
172	0.2836714851
173	0.2832413991
174	0.282828437
175	0.2824153476
176	0.2819042206
177	0.2815286001
178	0.2808718787
179	0.2801750819
180	0.2796418084
181	0.2791623433
182	0.2784745958
183	0.2777489132
184	0.2772272746
185	0.2765446133
186	0.2760414971
187	0.2754207187
188	0.2750794305
189	0.2744282617
190	0.2738721212
191	0.2734256956
192	0.2727962918
193	0.2722850164
194	0.2716333601
195	0.2712408278
196	0.2707329432
197	0.2701144536
198	0.2697401471
199	0.2693900214
200	0.268799803
201	0.2681937536
202	0.2679457135
203	0.2675590515
204	0.2669164234
205	0.2664295197
206	0.2660158369
207	0.2655220879
208	0.2651925829
209	0.2647482342
210	0.2642890082
211	0.2637612661
212	0.263145256
213	0.26251759
214	0.2620745765
215	0.2615253872
216	0.2611499786
217	0.2607354058
218	0.2602169037
219	0.2599315643
220	0.2594022963
221	0.2589629491
222	0.2585976283
223	0.2581980599
224	0.2576032003
225	0.257301818
226	0.2569976595
227	0.2566525353
228	0.2561218262
229	0.2555963092
230	0.2551816093
231	0.2547673119
232	0.2543256972
233	0.2538164139
234	0.2533628252
235	0.2528124279
236	0.2523392359
237	0.2520490434
238	0.2515634325
239	0.2511803309
240	0.2506924523
241	0.2503845639
242	0.2500690036
243	0.249598715
244	0.2492042965
245	0.2487137689
246	0.2482671102
247	0.2479308022
248	0.2474455727
249	0.2471332974
250	0.2468230353
251	0.2464448293
252	0.2460249159
253	0.2454730988
254	0.2451084561
255	0.2448380788
256	0.2445823034
257	0.2441472371
258	0.2437871721
259	0.2434236738
260	0.2431787279
261	0.2429671605
262	0.2426688088
263	0.2422967275
264	0.2419999864
265	0.2417163425
266	0.2415128072
267	0.2410143958
268	0.2404912737
269	0.2401861403
270	0.240017022
271	0.2396269904
272	0.2390916824
273	0.2387488683
274	0.2383546617
275	0.2380216599
276	0.237641716
277	0.2373912387
278	0.2372012244
279	0.2368204329
280	0.2364590115
281	0.2360719257
282	0.2358950297
283	0.2355617523
284	0.2351418389
285	0.2348897086
286	0.2345467673
287	0.234141922
288	0.2337604523
289	0.2335387336
290	0.2332817078
291	0.2330410851
292	0.2327148861
293	0.2324522654
294	0.2320696089
295	0.2318419139
296	0.2314591514
297	0.2311547597
298	0.2307855394
299	0.2304388258
300	0.2300525241
301	0.2298082987
302	0.2295018302
303	0.2290555318
304	0.2287686666
305	0.2284432729
306	0.2281161838
307	0.2278981951
308	0.2276256561
309	0.2273841858
310	0.2269980537
311	0.2265813616
312	0.2263039059
313	0.2259852091
314	0.2257561154
315	0.2254249785
316	0.2251030392
317	0.224636862
318	0.2244482252
319	0.2242624919
320	0.2238192876
321	0.2234727012
322	0.2231273439
323	0.2227430132
324	0.2224491331
325	0.2222096337
326	0.2218691508
327	0.2215447108
328	0.2211340586
329	0.2208508597
330	0.2205367194
331	0.2203679827
332	0.2200350867
333	0.2197642644
334	0.2194013808
335	0.2191261503
336	0.2189064026
337	0.2186604606
338	0.2184683906
339	0.21818072
340	0.2178031286
341	0.2175642437
342	0.2170467377
343	0.2168540531
344	0.2165803274
345	0.2162429386
346	0.2159627914
347	0.2156911214
348	0.2154035568
349	0.2151965883
350	0.2148340861
351	0.2146197425
352	0.2143087599
353	0.2140012105
354	0.2137173123
355	0.2133563572
356	0.2131021076
357	0.2128137377
358	0.212477239
359	0.2122661167
360	0.2119553036
361	0.2117823707
362	0.2115095986
363	0.2112861421
364	0.2110869514
365	0.2108048757
366	0.2105242623
367	0.2102212058
368	0.209943178
369	0.2095910602
370	0.2092912038
371	0.2090938144
372	0.2088492288
373	0.2086459054
374	0.2083901935
375	0.2082082325
376	0.2079482608
377	0.2076706145
378	0.2074842877
379	0.2072617849
380	0.2070021947
381	0.2067155838
382	0.2065889147
383	0.2064072503
384	0.2061881171
385	0.2058457692
386	0.2056472778
387	0.2052424537
388	0.2049609714
389	0.2047147539
390	0.2044979943
391	0.2042834388
392	0.2039563073
393	0.2037075043
394	0.2034897274
395	0.2031923506
396	0.2030168745
397	0.2027919345
398	0.2024226507
399	0.2021843804
400	0.2019928614
401	0.2018859227
402	0.2016584608
403	0.2014015622
404	0.2011455324
405	0.2008228726
406	0.2005176544
407	0.2002651003
408	0.2000876745
409	0.1998266432
410	0.1995759752
411	0.1993271086
412	0.1990738763
413	0.1987569173
414	0.1985438453
415	0.198299959
416	0.1980143229
417	0.1978401184
418	0.1975398382
419	0.1972583135
420	0.1969923231
421	0.1968505859
422	0.1966011471
423	0.1962977091
424	0.1961265564
425	0.1959141201
426	0.1955811395
427	0.195261489
428	0.1951151742
429	0.194828754
430	0.1946129693
431	0.1943993462
432	0.1941402011
433	0.1937894821
434	0.1935786353
435	0.1933357875
436	0.1930938721
437	0.1929676692
438	0.1926828596
439	0.1923912048
440	0.1921872881
441	0.1919637256
442	0.191680781
443	0.1914283117
444	0.1913192325
445	0.191042455
446	0.1907825682
447	0.1904323366
448	0.1902144538
449	0.1900068495
450	0.1897654004
451	0.189576043
452	0.1893207126
453	0.1890867445
454	0.1888057497
455	0.1884566837
456	0.1882824368
457	0.1880370458
458	0.1878202438
459	0.1875706567
460	0.1874019199
461	0.187231191
462	0.1870160421
463	0.1868329366
464	0.1866768307
465	0.1865007612
466	0.18634989
467	0.1860624525
468	0.1858331256
469	0.1856146918
470	0.1854918586
471	0.1852747175
472	0.1850286696
473	0.1848085827
474	0.1846733517
475	0.1844418632
476	0.1841471142
477	0.1839117898
478	0.1836736679
479	0.1835230298
480	0.1833169513
481	0.1830956989
482	0.1827262455
483	0.1825000763
484	0.1821929084
485	0.1819996728
486	0.1817709605
487	0.1814804077
488	0.1812705146
489	0.181112353
490	0.1808300018
491	0.1806029002
492	0.1803926256
493	0.1800590091
494	0.1797705332
495	0.1796183904
496	0.1794519636
497	0.1791915682
498	0.1789888594
499	0.1787824419
500	0.1786116918
501	0.1784848531
502	0.1782491896
503	0.1780111949
504	0.1778518465
505	0.1775934855
506	0.1774303012
507	0.1772136052
508	0.1770316548
509	0.1768977801
510	0.1765576045
511	0.1763149897
512	0.1761123233
513	0.1758683523
514	0.1756788784
515	0.1753897349
516	0.1752424664
517	0.1750332091
518	0.1749114884
519	0.1746054543
520	0.1743509822
521	0.1741436217
522	0.1738941722
523	0.1737691773
524	0.173561181
525	0.173305787
526	0.1730767144
527	0.1729565726
528	0.1728244146
529	0.1726694637
530	0.1724430614
531	0.1721711795
532	0.1719555007
533	0.1717396842
534	0.1715455161
535	0.1713422457
536	0.1711596807
537	0.1710173289
538	0.1708213488
539	0.170697742
540	0.1704974069
541	0.170365821
542	0.1701818466
543	0.1700175709
544	0.1697242313
545	0.1695758184
546	0.1693778038
547	0.1691834344
548	0.168972524
549	0.1687535392
550	0.1686499914
551	0.1684103436
552	0.1681602902
553	0.1679882685
554	0.1678256883
555	0.1675074048
556	0.1672206031
557	0.1669845793
558	0.1667985916
559	0.1665490892
560	0.1662784153
561	0.1661314329
562	0.1659865273
563	0.1658633656
564	0.1655222151
565	0.1653104782
566	0.1650936551
567	0.1649445958
568	0.1647872925
569	0.1646237055
570	0.1643882328
571	0.1643259472
572	0.164179696
573	0.1639030457
574	0.1637457742
575	0.1634641647
576	0.1632912318
577	0.1631282065
578	0.1628718482
579	0.1628454102
580	0.1625784768
581	0.1623993132
582	0.1622021887
583	0.1620264477
584	0.1618239615
585	0.1617033005
586	0.161535528
587	0.1613149325
588	0.1610828612
589	0.1608582073
590	0.1606616126
591	0.1604814741
592	0.1602535778
593	0.1600248867
594	0.1597343657
595	0.1594738113
596	0.1593043009
597	0.1592161708
598	0.1590437677
599	0.1588477453
600	0.1586978277
601	0.1584161546
602	0.1582970725
603	0.1580521266
604	0.1578436957
605	0.1576577081
606	0.1573861546
607	0.1571379556
608	0.1570020146
609	0.1568671756
610	0.1566212654
611	0.1564633052
612	0.1562859853
613	0.1562151803
614	0.1560836792
615	0.1558334457
616	0.1556751145
617	0.1554646598
618	0.155254311
619	0.1550194422
620	0.1548682849
621	0.154714436
622	0.1545845244
623	0.1543553882
624	0.1540883382
625	0.1538381577
626	0.1536773682
627	0.1534833908
628	0.1533355925
629	0.1531782468
630	0.1530202442
631	0.1528846953
632	0.1526037428
633	0.1524246428
634	0.1522764842
635	0.1521446016
636	0.1519776344
637	0.15182191
638	0.151607026
639	0.1514531136
640	0.1513192707
641	0.1511412727
642	0.1508855608
643	0.1506910642
644	0.1505487124
645	0.1503179126
646	0.1501927058
647	0.1500253254
648	0.1498826981
649	0.1496310764
650	0.1494827694
651	0.1493310822
652	0.1490660138
653	0.148947737
654	0.1488372167
655	0.1486459308
656	0.1484326575
657	0.1482474433
658	0.1481195874
659	0.1479126188
660	0.1476916313
661	0.147546747
662	0.1473455853
663	0.1470643997
664	0.1469320721
665	0.1467217127
666	0.1465552012
667	0.1463067373
668	0.1461005741
669	0.1459290504
670	0.1457683457
671	0.1456392924
672	0.1455079185
673	0.1453372108
674	0.1451361338
675	0.1449321747
676	0.1447917196
677	0.1445801417
678	0.1444160885
679	0.1442893982
680	0.1441255781
681	0.1440102683
682	0.1438655535
683	0.1436567518
684	0.1435009427
685	0.1433495204
686	0.1431214333
687	0.1428764661
688	0.1426897261
689	0.1424877697
690	0.1423083729
691	0.1421569294
692	0.1420030806
693	0.1418149842
694	0.1416209433
695	0.1414712588
696	0.1413488176
697	0.1412236955
698	0.141125022
699	0.1409278234
700	0.1409000185
701	0.1406630198
702	0.140529018
703	0.1403639264
704	0.1401520835
705	0.1399949816
706	0.139781528
707	0.1396186829
708	0.1393707381
709	0.139168485
710	0.1390469233
711	0.1389333301
712	0.1387994766
713	0.1386595196
714	0.1385625839
715	0.1384185791
716	0.1382655885
717	0.1381151729
718	0.1378144052
719	0.137666342
720	0.1374163734
721	0.1372159746
722	0.1371411006
723	0.1369058609
724	0.1367124452
725	0.1365676774
726	0.1364629216
727	0.1362890032
728	0.136113294
729	0.1359291501
730	0.1358073235
731	0.1356497235
732	0.1355263604
733	0.1353521135
734	0.1352313995
735	0.1350368288
736	0.1348446422
737	0.1346447733
738	0.134460534
739	0.1343054665
740	0.1341076745
741	0.1339497884
742	0.1338912646
743	0.1336387634
744	0.1334696982
745	0.1332630263
746	0.1330194897
747	0.13282778
748	0.1326804373
749	0.1326121542
750	0.1323744562
751	0.1321901957
752	0.1320665889
753	0.1319330851
754	0.1318224801
755	0.1317415767
756	0.1315243191
757	0.1313868946
758	0.1312619951
759	0.1311155743
760	0.1310626878
761	0.1308970345
762	0.1308589829
763	0.1306694137
764	0.1304681354
765	0.1303371006
766	0.1301804225
767	0.1299990972
768	0.1298235257
769	0.129730818
770	0.1295710458
771	0.1293603579
772	0.1292808957
773	0.1290715853
774	0.1290090243
775	0.1289405823
776	0.1288647122
777	0.1286543104
778	0.1284780502
779	0.128300031
780	0.1281592369
781	0.1279718081
782	0.1278373082
783	0.1276888847
784	0.1275265694
785	0.1273626539
786	0.1271132363
787	0.1270575417
788	0.1269140667
789	0.1267804252
790	0.1265807682
791	0.1264666769
792	0.1262017038
793	0.1259996096
794	0.1258249389
795	0.125665262
796	0.1255098343
797	0.1253019121
798	0.1251193682
799	0.1249791039
800	0.1247681936
801	0.124579366
802	0.1243910472
803	0.1243229972
804	0.1241179148
805	0.1239478005
806	0.1237697071
807	0.1236095534
808	0.1234664917
809	0.1233336131
810	0.1232075585
811	0.1231079102
812	0.1229173766
813	0.1227591621
814	0.1225890054
815	0.1224418428
816	0.1223314709
817	0.1221460978
818	0.1220197254
819	0.1218809976
820	0.1217481401
821	0.1216867023
822	0.1215292189
823	0.1213668399
824	0.1211843067
825	0.1210133447
826	0.120892387
827	0.120825651
828	0.1206476635
829	0.120492861
830	0.1203278224
831	0.1202133285
832	0.1200678825
833	0.1200075361
834	0.1199253082
835	0.11973025
836	0.1195620537
837	0.1193785561
838	0.1192258623
839	0.1190108829
840	0.1188316133
841	0.1187129233
842	0.1184696833
843	0.1182951927
844	0.1181891335
845	0.1180098428
846	0.1177981059
847	0.1176455074
848	0.1174714618
849	0.11731152
850	0.1171701855
851	0.1170193566
852	0.116889996
853	0.11678115
854	0.1166454739
855	0.1164504793
856	0.116255082
857	0.1160785675
858	0.1159440994
859	0.1157968309
860	0.1157159487
861	0.1155797111
862	0.1154779222
863	0.1153338962
864	0.1152127796
865	0.1150556246
866	0.1149225659
867	0.1148111449
868	0.1146232817
869	0.1144740634
870	0.1142855326
871	0.1141450246
872	0.1139717844
873	0.1137922499
874	0.1136584494
875	0.1135315365
876	0.1133626302
877	0.1131960339
878	0.1130795267
879	0.1128639751
880	0.1127562417
881	0.1126454777
882	0.1125169754
883	0.112383567
884	0.1122393502
885	0.1120381885
886	0.1119420475
887	0.1117244085
888	0.1115294351
889	0.1113931868
890	0.1112418387
891	0.1110937013
892	0.1109601127
893	0.1108322779
894	0.1106730779
895	0.1105253008
896	0.1103719393
897	0.1102621502
898	0.1101542685
899	0.1100051032
900	0.109912014
901	0.1098198467
902	0.1096671634
903	0.1095226182
904	0.1093781471
905	0.1092621168
906	0.1090762562
907	0.1089662976
908	0.1088657485
909	0.1087323507
910	0.108642896
911	0.1085094982
912	0.1084031847
913	0.1081935671
914	0.108089998
915	0.1079367532
916	0.1078273773
917	0.1076774809
918	0.1076142311
919	0.1074987835
920	0.1073598226
921	0.1073071268
922	0.1072115474
923	0.1070840412
924	0.1069680426
925	0.1068657769
926	0.1067644437
927	0.1066408687
928	0.1065721724
929	0.1064827177
930	0.1063948101
931	0.1062486013
932	0.1061180327
933	0.1059876336
934	0.1057850308
935	0.1056929906
936	0.1055692567
937	0.1054370986
938	0.1053501129
939	0.1052054511
940	0.105065812
941	0.104972797
942	0.1048143705
943	0.1047042741
944	0.1046023157
945	0.1044833501
946	0.1043744193
947	0.1042314741
948	0.1041415532
949	0.104012235
950	0.103883489
951	0.1037499958
952	0.1036296844
953	0.1035022736
954	0.1033992343
955	0.1033541891
956	0.1032593727
957	0.1031668769
958	0.1030462689
959	0.1029241986
960	0.1028066211
961	0.1026876026
962	0.1026443058
963	0.1025232315
964	0.1023969544
965	0.1022746192
966	0.1022322443
967	0.1021204419
968	0.1019957648
969	0.101916737
970	0.1017884572
971	0.1016398324
972	0.1015543726
973	0.1014093081
974	0.1012851715
975	0.1011568281
976	0.1010704041
977	0.1009409799
978	0.1007580015
979	0.1006314066
980	0.1005108092
981	0.100357257
982	0.1002249188
983	0.1001049889
984	0.1000652207
985	0.09994901021
986	0.09982734256
987	0.09971012539
988	0.09961884816
989	0.09950140847
990	0.09949694739
991	0.09942180845
992	0.09931145774
993	0.09921355777
994	0.09906270769
995	0.0990199301
996	0.09890958998
997	0.09880196253
998	0.09870831172
999	0.0985856798
